language;endonym;description;world_region;country;global_speakers;primary_location;add_neighborhoods;latitude;longitude;size;status;glottocode;lg_family;iso_639_3
Kumeyaay;Kumiai;Rick Chavolla, board chair of the American Indian Community House, is Kumeyaay from California and living in the West Village as of 2018. As of that year, the American Indian Community House, which has represented New York's Native community for decades, reported members belonging to 72 different Native North American tribes.;Northern America;Mexico, United States;440;West Village;;4.073.605.200;-7.399.985.600;Smallest;Residential;;Yuman;dih
Kuranko;Kuranko;Poet/storyteller Kewulay Kamara, working within a Manden finah (bard) tradition and speaking the Kuranko language of Sierra Leone (which he reports has high mutual intelligibility with other Manden varieties), lives in Jackson Heights. Kewulay reported only once over the years meeting another Kuranko speaker in the city, who later moved away.;Western Africa;Sierra Leone, Guinea;461000;Jackson Heights;;4.075.241.000;-7.388.700.100;Smallest;Residential;kura1250;Mande;knk
Kurdish;Kurmancî;The relatively small and scattered community of Kurdish speakers across the New York area comes together every year at Nawruz, held in recent years at the Armenian community's Hovnanian School in New Milford, near where some speakers live. Others are in Brooklyn and Manhattan, and many are students staying temporarily. Unlike Nashville's large, concentrated community from Iraqi Kurdistan, Kurdish speakers in New York may come from across the Kurdish world (including Syria, Turkey, Iran, Iraq). In addition to Kurmaji, small numbers also speak Zaza, Sorani, and possibly other varieties.;Western Asia;Syria, Turkey;22132670;Gravesend;;4.059.547.500;-7.397.427.800;Smallest;Residential;kurd1259;Indo-European;kur
Kurdish;Kurmancî;The relatively small and scattered community of Kurdish speakers across the New York area comes together every year at Nawruz, held in recent years at the Armenian community's Hovnanian School in New Milford, near where some speakers live. Others are in Brooklyn and Manhattan, and many are students staying temporarily. Unlike Nashville's large, concentrated community from Iraqi Kurdistan, Kurdish speakers in New York may come from across the Kurdish world (including Syria, Turkey, Iran, Iraq). In addition to Kurmaji, small numbers also speak Zaza, Sorani, and possibly other varieties.;Western Asia;Syria, Turkey;22132670;New Milford (NJ);;4.092.696.716;-7.402.628.507;Small;Community;kurd1259;Indo-European;kur
Kurtöp;ཀུར་ཏོ་པ་ཁ་;One community member estimates that as many as 1,000 people from Bhutan are now in the city, though it is unclear whether or not this includes the Nepali-speaking Lhotsampa people who have fled Bhutan as refugees and may not be Dzongkha speakers. Besides Dzongkha, the national language, the most widely spoken language among non-Lhotsampa Bhutanese is Sharchop, but there are also a small number of speakers of Bumthang, Kurtöp, Chocha-ngacha, and probably other languages of Bhutan. The largest concentration is in Sunnyside as well as Astoria and Elmhurst, near other Himalayans, but a small percentage are in Brooklyn and scattered individuals in the Bronx and Westchester and likely elsewhere.;Southern Asia;Bhutan;15000;Sunnyside;;4.074.125.400;-7.391.773.600;Smallest;Residential;kurt1248;Sino-Tibetan;xkz
Kyirong;སྐྱིད་གྲོང་སྐད་;Hundreds of Kyirong people, with roots on a segment of the Nepal-Tibet border, live mostly within the wider Himalayan community in Sunnyside, Jackson Heights, and Elmhurst. The community organization Kyidong Kyiduk has an annual picnic, retreat, and dadue (archery) competition every year, and there is even a soccer team from the community known as Team Kyidong. (ELA recognizes that the Chinese government's rule in Tibet, where this language is spoken, is disputed.);;;;;;;;;;;;
Southern Asia;China;" Nepal""";600;Elmhurst;Jackson Heights, Sunnyside;4.074.583.500;-7.387.697.700;Smallest;Residential;kyir1236;Sino-Tibetan;kgy;;
Kyrgyz;Кыргызча;Speakers of Kyrgyz have arrived in increasing numbers as the city's broader Central Asian community, especially in south Brooklyn, has grown. The Kyrgyz American Foundation, led by the concert pianist Aza Sydykov, brings this new generation of Kyrgyz-Americans with others who are interested in the country and its culture, especially music, as well as policy and civil society issues.;Central Asia;Kyrgyzstan, China;4170000;Bensonhurst;;4.061.050.200;-7.398.252.000;Small;Residential;kirg1245;Turkic;kir
Ladakhi;ལ་དྭགས་སྐད་;Approximately 300 speakers of Balti, Ladakhi, and Purgi — related languages from the neighboring Himalayan borderlands containing Pakistan's Gilgit-Baltistan Province and the disputed Jammu-Kashmir and Ladakh areas under Indian control — have settled around the New York area, including the suburbs, with one of the longest-standing members of the community living in the east 90s in Manhattan. All speak Tibetic languages;;;;;;;;;;;;
Lahu;Ladhof;New York's Burmese community is growing fast, particularly in areas of western Queens (Elmhurst, Woodhaven, Sunnyside, and Jackson Heights), where at least 7,000 immigrants from Myanmar currently reside, according to 2015-2019 American Community Survey data—and also southern Brooklyn. Many are Christian refugees from minority groups who fled the country's military rule and decades of civil war, as well as a reported small number Rohingya Muslims facing extreme persecution. Other community members cite educational opportunities as their motivation for immigrating. The vast majority of Burmese in Myanmar are Buddhist, and there are many ethnic Burmans and other Myanmar Buddhists who gather at the Buddhist temple in Brooklyn's Prospect Heights, which has a larger facility in New Jersey. Many of the Christian groups gather at Glendale's Myanmar Baptist Church. Some have found work in Manhattan's Diamond District. Besides Burmese (including the Dawei and Intha varieties), there are speakers of several varieties of Chin, Kachin, Karen, Lahu, Mon, Pa'O, Rakhine, Shan, and Wa, and perhaps other languages.;Southeastern Asia;Myanmar, Thailand;600000;Elmhurst;;4.073.949.000;-7.387.787.200;Smallest;Residential;laho1234;Sino-Tibetan;lhu
Lahu;Ladhof;New York's Burmese community is growing fast, particularly in areas of western Queens (Elmhurst, Woodhaven, Sunnyside, and Jackson Heights), where at least 7,000 immigrants from Myanmar currently reside, according to 2015-2019 American Community Survey data—and also southern Brooklyn. Many are Christian refugees from minority groups who fled the country's military rule and decades of civil war, as well as a reported small number Rohingya Muslims facing extreme persecution. Other community members cite educational opportunities as their motivation for immigrating. The vast majority of Burmese in Myanmar are Buddhist, and there are many ethnic Burmans and other Myanmar Buddhists who gather at the Buddhist temple in Brooklyn's Prospect Heights, which has a larger facility in New Jersey. Many of the Christian groups gather at Glendale's Myanmar Baptist Church. Some have found work in Manhattan's Diamond District. Besides Burmese (including the Dawei and Intha varieties), there are speakers of several varieties of Chin, Kachin, Karen, Lahu, Mon, Pa'O, Rakhine, Shan, and Wa, and perhaps other languages.;Southeastern Asia;Myanmar, Thailand;600000;Glendale;;4.070.567.918;-7.387.050.169;Smallest;Community;laho1234;Sino-Tibetan;lhu
Lakota;Lakȟótiyapi;Lakota speakers may have been living in and around New York City for some time. In the last few years, as a joint effort of the American Indian Community House, the Language Conservancy and New York University’s Center for Latin American and Caribbean Studies, an intensive Lakota Language Weekend (held at NYU) has brought speakers and learners together.;Northern America;United States, Canada;2100;Greenwich Village;;4.072.965.900;-7.399.701.800;Smallest;Reviving;lako1247;Siouan;lkt
Lao;ພາສາລາວ;The Southeast Asian refugee community that formed in the Bronx following the Vietnam War and the Khmer Rouge genocide in Cambodia, today represented in part by the organization Mekong NYC, is substantially Vietnamese- and Khmer-speaking, but there have also reportedly been individuals who speak Lao (some of whom are also in the Thai area of Elmhurst) as well as Hmong and Mien, the two largest non-national languages spoken by Southeast Asian Americans, which are historically related but also highly internally diverse. Following the Vietnam War, many more speakers of these languages went as refugees to California, Minnesota, and elsewhere.;Southeastern Asia;Laos, Cambodia;4230000;Elmhurst;;4.074.037.460;-7.388.812.427;Small;Residential;laoo1244;Tai-Kadai;lao
Lao;ພາສາລາວ;The Southeast Asian refugee community that formed in the Bronx following the Vietnam War and the Khmer Rouge genocide in Cambodia, today represented in part by the organization Mekong NYC, is substantially Vietnamese- and Khmer-speaking, but there have also reportedly been individuals who speak Lao (some of whom are also in the Thai area of Elmhurst) as well as Hmong and Mien, the two largest non-national languages spoken by Southeast Asian Americans, which are historically related but also highly internally diverse. Following the Vietnam War, many more speakers of these languages went as refugees to California, Minnesota, and elsewhere.;Southeastern Asia;Laos, Cambodia;4230000;Fordham;;4.086.531.200;-7.390.332.300;Small;Residential;laoo1244;Tai-Kadai;lao
Larteh;Larteh;"New York is home to a large and growing Ghanaian community centered on ""Little Accra"" in the Bronx stretching from the Grand Concourse up to Tracey Towers, with Ghanaian English and Twi serving as widely-known lingua francas. Ashanti, Akuapem (Twi), and Fante are all considered mutually intelligible varieties of Akan. Ghanaian New Yorkers from Accra, or who spent significant time in Accra, may be Ga speakers, and in the Bronx community there are also speakers of smaller languages such as Dagaare and Dagbani. The first wave of Ghanaians came to the city after the coup in 1966, with some working with the Black Star Line (Ghana Shipping Company) as seamen, and a large number arriving starting in the 1980s. There are now smaller communities in Brooklyn, Queens, Staten Island, New Jersey, and Westchester. Those from northern Ghana may be part of the Yankasa Association, based in the Bronx. Records indicate that many of the enslaved Africans brought to New York in the 17th and 18th centuries may have been speakers of Akan varieties.";Western Africa;Ghana;74000;Highbridge;;4.084.335.200;-7.391.381.100;Smallest;Residential;lart1238;Atlantic-Congo;lar
Latvian;Latviešu;Like many Eastern European communities, Latvians first arrived in the U.S. around the turn of the 20th century. The diaspora community consists mostly of post-Second World War emigrants, who found homes in Boston, New York, and other major East Coast cities. According to 2015-2019 American Community Survey data, there just over 500 Latvian speakers in New York City. Yonkers' Latvian Evangelical Lutheran Church unifies the community with weekly services and programming for children.;Northern Europe;Latvia;1765910;University Heights;;4.086.039.800;-7.390.966.700;Smallest;Residential;latv1249;Indo-European;lav
Latvian;Latviešu;Like many Eastern European communities, Latvians first arrived in the U.S. around the turn of the 20th century. The diaspora community consists mostly of post-Second World War emigrants, who found homes in Boston, New York, and other major East Coast cities. According to 2015-2019 American Community Survey data, there just over 500 Latvian speakers in New York City. Yonkers' Latvian Evangelical Lutheran Church unifies the community with weekly services and programming for children.;Northern Europe;Latvia;1765910;Yonkers (NY);;4.091.574.800;-7.389.769.300;Small;Residential;latv1249;Indo-European;lav
Lazuri;ლაზური;A researcher with the Endangered Language Alliance encountered a few Lazuri speakers in Astoria in the early 2010s.;Western Asia;Turkey, Georgia;22000;Astoria;;4.076.997.100;-7.392.067.800;Smallest;Residential;lazz1240;Kartvelian;lzz
Lemko;Лeмкo;Lemkos are a Slavic gorup from the Transcarpathian region of eastern Europe who variously identify as an independent ethnic group, as (Carpatho-)Rusyns, or as Ukrainians — and linguistically there are close connections within a zone of transitional Slavic varieties. There is a large Lemko diaspora in the US, with many having fled a series of deportations in what is now southeastern Poland. In the New York area, a distinct Lemko community has been present and active for over a century in preserving historical and cultural memory. Though Lemkos are scattered in the tristate area with significant settlements in Westchester (Yonkers) and Connecticut (Terryville), the Ukrainian section of the East Village remains a hub, with a Lemko Vatra festival taking place upstate, meetings of a branch of the Organization for the Defense of Lemkivshchyna, and other activities.;Eastern Europe;Ukraine, Poland;;East Village;;4.072.747.500;-7.398.801.900;Medium;Residential;lemk1239;Indo-European;
Lemko;Лeмкo;Lemkos are a Slavic gorup from the Transcarpathian region of eastern Europe who variously identify as an independent ethnic group, as (Carpatho-)Rusyns, or as Ukrainians — and linguistically there are close connections within a zone of transitional Slavic varieties. There is a large Lemko diaspora in the US, with many having fled a series of deportations in what is now southeastern Poland. In the New York area, a distinct Lemko community has been present and active for over a century in preserving historical and cultural memory. Though Lemkos are scattered in the tristate area with significant settlements in Westchester (Yonkers) and Connecticut (Terryville), the Ukrainian section of the East Village remains a hub, with a Lemko Vatra festival taking place upstate, meetings of a branch of the Organization for the Defense of Lemkivshchyna, and other activities.;Eastern Europe;Ukraine, Poland;;Yonkers (NY);;4.092.938.022;-7.387.126.820;Smallest;Residential;lemk1239;Indo-European;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lenape (Munsee);Lunaape;Besides the southern bit of what is now New York, traditional Lenape-speaking territory encompasses New Jersey, northern Delaware, and eastern Pennsylvania, where people lived in a constellation of separate, but linguistically and culturally similar, bands — 40 or more of them with a few hundred members each. In New Jersey, there were the Raritans, the Haverstraw, the Tappan, the Hackensack, the Minisinks, and others;;;;;;;;;;;;
Lezgi;Лезги;In recent years, small numbers of individuals and families from the highly multilingual Caucasus have come to New York, settling primarily in and around the post-Soviet world of Brighton Beach, though not much information is known. Besides speakers of the major national languages, there are reported to be some Lezgis (some apparently connected with the city's Azeri community), Avars, Chechens, and Ingush. At least for short periods there have also been speakers of Haput and Lak in the city. An older North Caucasian community, where Circassians are most numerous, exists in Paterson, New Jersey.;Western Asia;Russia, Azerbaijan;633610;Homecrest;;4.059.024.400;-7.396.037.600;Smallest;Residential;lezg1247;Nakh-Daghestanian;lez
Liberian English;Liberian English;"The Liberian Civil Wars (1989-2004) forced over a million Liberians of all backgrounds to leave the country, fleeing poverty, disease, mass torture and genocide — often committed by children forced into military organizations. Roughly 100,000 Liberians immigrated to the U.S. at this time, with the single largest number settling in the Park Hill area of Staten Island. Known as ""Little Liberia,"" centered around Park Hill Avenue, this large community now includes a number of active political and social organizations. Most Liberians speak both Liberian English as well as a mother tongue such as Bassa, Kissi, Kru, Krahn, Kpelle, Gio, Gola, Loma, Mano, Mandingo, and Vai.";Western Africa;Liberia;;Park Hill;;4.061.499.500;-7.408.307.900;Medium;Residential;;Indo-European;eng
Libyan Arabic;ليبي;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Northern Africa;Libya, Egypt;4911800;Astoria;;4.076.748.700;-7.391.250.600;Small;Residential;liby1240;Afro-Asiatic;ayl
Libyan Judeo-Arabic;اللهجة الليبية اليهودية;"A broad representation of the world's Arabic varieties, as used by Muslims, Christians, and Jews from West Africa to Iraq, can be found across the metropolitan area — although many of them are mutually unintelligible with each other, speakers are able to communicate in the Modern Standard Arabic known as al-fuṣḥā (""the purest"", and there is often widespread familiarity with larger varieties like Egyptian Arabic. In the second half of the 20th century, what had been primarily a Levantine Arabic speaking community (by then mostly in Brooklyn) was joined by significant numbers of Egyptian Arabic and Yemeni Arabic speakers, as well as smaller numbers of many other varieties found throughout the city. Significant Arabic-speaking areas include Bay Ridge, Astoria, the Bronx (for West African Arabic speakers), Yonkers, and Paterson, New Jersey. Classical (or Qu'ranic) Arabic flourishes widely at mosques like the Islamic Cultural Center on the Upper East Side and the Jamaica Muslim Center in Queens as well schools like Al-Noor in Brooklyn. Jewish varieties of Arabic, often linked to the local variety of the particular country of origin, are still spoken to some degree among the sizeable Middle Eastern and North African Jewish communities in the city, especially in Brooklyn.";Northern Africa;Libya, Israel;35000;Midwood;;4.062.251.100;-7.395.797.600;Smallest;Residential;jude1264;Afro-Asiatic;jrb
Ligurian;Ligure;Despite the overwhelming presence of southerners, almost all of Italy's substantial linguistic diversity has at one time or another been represented in the New York City area. Northern Italians, especially Ligurians from Chiavari south of Genoa, but also those from Piedmont and Tuscany, were numerous among the earlier arrivals in the mid-19th century, but there also appears to have been a variety of other northerners. Relatively little is known about the trajectory of the smaller northern Italian communities, which seem to have started moving out of Little Italy already in the 1880s towards the southern section of Greenwich Village, where many worked as artisans and assimilated relatively rapidly.;Southern Europe;Italy, Monaco;508210;Greenwich Village;;4.072.906.100;-7.400.141.500;Small;Historical;ligu1248;Indo-European;lij
Limba;Limba;At least one Limba speaker was reported to have lived at one point in Jackson Heights, staying with the Kuranko speaker (also from Sierra Leone).;Western Africa;Sierra Leone;442000;Jackson Heights;;4.075.246.000;-7.388.714.400;Smallest;Residential;west2450;Atlantic-Congo;lia
Limbu;ᤕᤠᤰᤌᤢᤱ ᤐᤠᤴ;Within the small but growing world of Kiranti New York, centered on Queens and reflecting mostly recent arrivals from eastern Nepal, there are numerous speakers of Limbu, though not all necessarily speak the language as people shift to Nepali.;Southern Asia;Nepal, India;407000;Elmhurst;Jackson Heights;4.074.667.200;-7.388.965.300;Small;Residential;limb1266;Sino-Tibetan;lif
Limi;ལི་མི་སྐད​་;Organized in the North America Limi Kyiduk, around 120 people speaking the Tibetic language variety Limi, particularly from the town of Dzong, live in Woodside and Sunnyside, with a few in Corona and near Cortelyou in Brooklyn. (ELA recognizes that the Chinese government's rule in Tibet, where this language is spoken, is disputed.);Southern Asia;Nepal, China;29000;Elmhurst;Corona, Sunnyside, Woodside;4.073.277.900;-7.388.217.000;Smallest;Residential;lhom1239;Sino-Tibetan;lhm
Lingala;Lingala;"A relatively small but growing Congolese community is scattered in different neighborhoods across the city, though one focal point has been Harlem (whose Maysles Cinema has been home to the ""Congo in Harlem"" film festival in recent years). Among the native languages spoken by Congolese New Yorkers in addition to French are Luba-Kasai, Luba-Katanga, Lingala (the lingua franca of the capital Kinshasa), Kikongo, and Mongo, and there are likely others.";Middle Africa;D.R. Congo, Congo (Brazzaville);2260520;Central Harlem;;4.081.012.600;-7.395.162.900;Smallest;Residential;ling1263;Atlantic-Congo;lin
Lithuanian;Lietuvių;"Driven by a famine and a series of insurrections, Lithuanian immigration to the U.S. began in 1850, with as many as 750,000 said to have arrived by 1918. While the largest community is in Chicago, there is a substantial and historic community in New York City which lived in proximity to Slavic communities, united by churches like the Annunciation in Williamsburg and the Transfiguration Roman Catholic Church in Maspeth, Queens, both with frequent services in Lithuanian. One affiliate of the church is the Knights of Lithuania organization, whose primary goals are to celebrate Lithuanian language, customs, and culture. Most Lithuanian Jews were native Yiddish speakers and settled among Jews. Lithuanian (""Lipka"") Tatars have also been in New York for over a century, with a Williamsburg mosque still in the community.";Northern Europe;Lithuania, Poland;3000600;Chelsea;;4.075.028.327;-7.399.572.993;Small;Community;lith1251;Indo-European;lit
Lithuanian;Lietuvių;"Driven by a famine and a series of insurrections, Lithuanian immigration to the U.S. began in 1850, with as many as 750,000 said to have arrived by 1918. While the largest community is in Chicago, there is a substantial and historic community in New York City which lived in proximity to Slavic communities, united by churches like the Annunciation in Williamsburg and the Transfiguration Roman Catholic Church in Maspeth, Queens, both with frequent services in Lithuanian. One affiliate of the church is the Knights of Lithuania organization, whose primary goals are to celebrate Lithuanian language, customs, and culture. Most Lithuanian Jews were native Yiddish speakers and settled among Jews. Lithuanian (""Lipka"") Tatars have also been in New York for over a century, with a Williamsburg mosque still in the community.";Northern Europe;Lithuania, Poland;3000600;Maspeth;;4.072.438.100;-7.390.126.600;Small;Residential;lith1251;Indo-European;lit
Lithuanian;Lietuvių;"Driven by a famine and a series of insurrections, Lithuanian immigration to the U.S. began in 1850, with as many as 750,000 said to have arrived by 1918. While the largest community is in Chicago, there is a substantial and historic community in New York City which lived in proximity to Slavic communities, united by churches like the Annunciation in Williamsburg and the Transfiguration Roman Catholic Church in Maspeth, Queens, both with frequent services in Lithuanian. One affiliate of the church is the Knights of Lithuania organization, whose primary goals are to celebrate Lithuanian language, customs, and culture. Most Lithuanian Jews were native Yiddish speakers and settled among Jews. Lithuanian (""Lipka"") Tatars have also been in New York for over a century, with a Williamsburg mosque still in the community.";Northern Europe;Lithuania, Poland;3000600;Williamsburg;Greenpoint, NoMad;4.071.429.000;-7.395.479.000;Small;Residential;lith1251;Indo-European;lit
Litvish Yiddish;ליטװיש יידיש;Litvish Yiddish, based on northeastern Yiddish varieties, has been maintained to a degree by the Lubavitch community in Crown Heights and by other Haredi/Yeshivish with roots in Lithuania and the surrounding region. Lakewood, New Jersey, with one of the world's largest yeshivas, is a significant center of scholarship following to a degree in the Litvish tradition.;Northern Europe;United States, Israel;;Crown Heights;Midwood;4.066.904.900;-7.394.283.100;Medium;Residential;litv1235;Indo-European;ydd
Litvish Yiddish;ליטװיש יידיש;Litvish Yiddish, based on northeastern Yiddish varieties, has been maintained to a degree by the Lubavitch community in Crown Heights and by other Haredi/Yeshivish with roots in Lithuania and the surrounding region. Lakewood, New Jersey, with one of the world's largest yeshivas, is a significant center of scholarship following to a degree in the Litvish tradition.;Northern Europe;United States, Israel;;Lakewood (NJ);;4.009.565.700;-7.422.139.800;Medium;Residential;litv1235;Indo-European;ydd
Loke;གློ་སྐད་;Drawn by the comparatively more affordable housing, a small number of Tibetan, Mustangi, and other Himalayan families have recently started moving to this section of the Bronx, near Pelham Parkway. (ELA recognizes that the Chinese government's rule in Tibet is disputed.);Southern Asia;Nepal;7500;Allerton;;4.086.658.800;-7.386.645.100;Smallest;Residential;lowa1242;Sino-Tibetan;loy
Loke;གློ་སྐད་;As Mustangi New Yorkers look for affordable housing for growing families, more speakers of Tibetic language varieties Loke and Baragaun are moving from Queens to New Jersey, including both the Indian neighborhood around Jersey City's Journal Square, since they can communicate in Hindi, and nearby towns such as Harrison and East Rutherford.;Southern Asia;Nepal;7500;Jersey City (NJ);;4.073.613.299;-7.406.316.470;Small;Residential;lowa1242;Sino-Tibetan;loy
Loke;གློ་སྐད་;"Through Queens-based organizations like the Mustang Kyidug, the Lo Nyamship Association, and others, speakers of the Tibetic language varieites Loke and Baragaun from Mustang are working simultaneously to maintain its traditions and to adapt to American life. The community comes together not only for major occasions like Tibetan New Year (Losar) and Phaknyi, but also for monthly ""Mani gatherings"" for prayer, usually held in a private apartment. The majority of New York-based Mustangis live in western and central Queens, from Astoria to Elmhurst, but a small number of Baragaun speakers have recently moved to Richmond Hill and elsewhere in the borough.";Southern Asia;Nepal;7500;Woodside;Astoria, Elmhurst, Jackson Heights, Sunnyside;4.075.001.971;-7.390.331.435;Small;Residential;lowa1242;Sino-Tibetan;loy
Loma;Löömàgòòi;"The Liberian Civil Wars (1989-2004) forced over a million Liberians of all backgrounds to leave the country, fleeing poverty, disease, mass torture and genocide — often committed by children forced into military organizations. Roughly 100,000 Liberians immigrated to the U.S. at this time, with the single largest number settling in the Park Hill area of Staten Island. Known as ""Little Liberia,"" centered around Park Hill Avenue, this large community now includes a number of active political and social organizations. Most Liberians speak both Liberian English as well as a mother tongue such as Bassa, Kissi, Kru, Krahn, Kpelle, Gio, Gola, Loma, Mano, Mandingo, and Vai.";Western Africa;Liberia;266000;Park Hill;;4.061.479.100;-7.408.197.800;Smallest;Residential;loma1260;Mande;lom
Lombard;Lombard;Despite the overwhelming presence of southerners, almost all of Italy's substantial linguistic diversity has at one time or another been represented in the New York City area. Northern Italians, especially Ligurians from Chiavari south of Genoa, but also those from Piedmont and Tuscany, were numerous among the earlier arrivals in the mid-19th century, but there also appears to have been a variety of other northerners. Relatively little is known about the trajectory of the smaller northern Italian communities, which seem to have started moving out of Little Italy already in the 1880s towards the southern section of Greenwich Village, where many worked as artisans and assimilated relatively rapidly.;Southern Europe;Italy, Switzerland;3903000;Greenwich Village;;4.072.767.900;-7.400.059.900;Small;Historical;lomb1257;Indo-European;lmo
Lotha;Lotha;Today there may be a small number of speakers of at least 9 different distinct Naga languages — with some also speaking the lingua franca Nagamese — living in New Jersey, Manhattan, Brooklyn, and Long Island, according to Abraham Lotha, who is based in Edison and has been working on Lotha, his own mother tongue. The earliest known Naga to come to the United States was Eramo Shanjamo Jungi, who arrived in 1904 with a family of Baptist missionaries returning from Nagaland to their home in Trenton Junction. Shanjamo, who was Lotha, returned to Nagaland in 1908 and played an active role in the Baptist church in India until his death in 1956.;Southern Asia;India;180000;Edison (NJ);;4.050.267.205;-7.439.642.605;Smallest;Residential;loth1237;Sino-Tibetan;njh
Lovari Romani;Lovari;Many of the earliest Roma communities in New York formed on the Lower East Side/East Village among other immigrant communities from Southern and Eastern Europe, and for some the city was a seasonal base. Following the Second World War and the 1956 revolution in Hungary came a Hungarian Roma community, including many musicians.  There is no community center, according to Roma scholar Ian Hancock, but some Pentecostal churches have large Romani American congregations and a Romani-owned restaurant in the Bowery was at one point a gathering place. Later, many came to be most concentrated in Greenwich Village, with fortune telling as a major source of income. There are also reports of a Lovari community in Newark.;Southern Europe;Romania;;Newark (NJ);;4.073.197.000;-7.417.421.000;Small;Residential;lova1240;Indo-European;rmy
Low German;Plattdüütsch;As High German gained social status in Germany as the standardized language of education across the 18th and 19th centuries, the number of Low German speakers (from northern Germany) declined drastically. A community of North German immigrants has maintained their Plattdeutsch pride in Franklin Square with two enduring institutions, Plattduetsche Park Restaurant and the neighboring Plattduetsche Retirement Home. The former has a long history in the city, originally founded in Bushwick to serve as a home to an annual folk festival, and later relocated to Long Island. The institution expanded throughout the 20th century to include a dance hall, a biergarten, and even a bowling alley, all of which have served New York's Low German speakers and their descendants. Plattdeutsche Park also serves an important umbrella function for a whole range of regional German organizations with histories of their own, such as the Bavarian-oriented GTEV Schlierachtaler Stamm, in existence since 1928.;Western Europe;Germany;447360;Franklin Square (NY);;4.070.859.900;-7.368.207.300;Medium;Residential;lowg1239;Indo-European;pdt
Luba-Kasai;Luba-Kasai;Luba-Kasai is spoken by a community from the Democratic Republic of the Congo, at least some of whose members gather on a regular basis in the Flatbush area of Brooklyn, according to a younger member of the community whose mother attends the meetings.;Middle Africa;D.R. Congo;7060000;Flatbush;;4.065.046.800;-7.395.448.000;Small;Residential;luba1249;Atlantic-Congo;lua
